Date,Open,High,Low,Close,Volume,Currency
2021-03-12,1827.44,1841.19,1723.18,1766.9,1519957,USD
2021-03-13,1767.05,1943.36,1730.46,1921.13,1789652,USD
2021-03-14,1921.29,1932.36,1836.78,1849.06,671564,USD
2021-03-15,1848.18,1890.59,1745.04,1792.38,1704434,USD
2021-03-16,1792.08,1817.35,1715.97,1804.85,1811469,USD
2021-03-17,1804.56,1837.88,1743.62,1823.35,1496275,USD
2021-03-18,1823.72,1849.23,1760.83,1776.08,1534784,USD
2021-03-19,1775.87,1848.88,1735.42,1809.64,1198902,USD
2021-03-20,1809.09,1868.09,1801.6,1804.6,27034,USD
2021-03-21,1804.6,1815.85,1748.47,1783.72,1428793,USD
2021-03-22,1783.58,1806.62,1659.28,1682.37,1583965,USD
2021-03-23,1681.5,1720.01,1654.14,1667.9,1464750,USD
2021-03-24,1668.42,1739.82,1546.48,1582.38,1876609,USD
2021-03-25,1582.23,1621.32,1550.11,1586.54,1543439,USD
2021-03-26,1586.36,1699.27,1586.28,1698.6,1639046,USD
2021-03-27,1698.68,1731.73,1667.12,1713.01,1397810,USD
2021-03-28,1712.89,1724.74,1661.92,1686.8,1306161,USD
2021-03-29,1686.88,1839.41,1678.38,1816.69,1943235,USD
2021-03-30,1816.92,1857.65,1788.6,1841.01,3032573,USD
2021-03-31,1841.01,1945.4,1774.66,1917.99,2593667,USD
2021-04-01,1918.82,1983.84,1897.38,1967.96,2079780,USD
2021-04-02,1968.12,2144.11,1949.99,2134.55,2467361,USD
2021-04-03,2134.66,2137.68,2004.4,2008.59,2008209,USD
2021-04-04,2007.82,2091.31,1982.0,2075.94,1587412,USD
2021-04-05,2076.14,2127.89,2004.05,2106.41,2308699,USD
2021-04-06,2108.81,2150.78,2047.48,2111.53,1933808,USD
2021-04-07,2112.41,2128.25,1939.64,1961.46,2295881,USD
2021-04-08,1962.44,2084.08,1951.83,2079.92,1727481,USD
2021-04-09,2080.2,2101.07,2050.39,2066.93,2465777,USD
2021-04-10,2067.26,2197.73,2058.23,2133.79,2088518,USD
